TRACK_DATE	y_top	y_bottom	y_left	y_right	y_center	x_top	x_bottom	x_left	x_right	x_center
2020-04-15T21:29:01.017	-0.04179698141768995	-1.769984106843138	-0.9058905441304148	-1.0139022394695036	-0.9058905441304148	6.7437927173588985	6.779796615805262	6.095722545324357	7.031823904929807	6.599777123573444
2020-04-15T22:09:01.005	-0.07780087986405348	-1.769984106843138	-1.0139022394695036	-0.9778983410231401	-0.9418944425767783	6.95981610803708	6.95981610803708	6.45576152978799	7.391862889393442	6.95981610803708
2020-04-15T22:49:01.005	-0.07780087986405348	-1.8059880052895014	-0.9778983410231401	-0.9778983410231401	-1.0139022394695036	7.2118433971616245	7.175839498715261	6.671784920466171	7.715897975410714	7.247847295607988
2020-04-15T23:29:01.005	-0.005793082971326413	-1.6979763099504108	-0.9418944425767783	-0.9778983410231401	-0.9418944425767783	7.355858990947079	7.355858990947079	6.851804412697989	7.6798940769643504	7.319855092500715
2020-04-16T00:09:01.004	0.030210815475037123	-1.6979763099504108	-0.8698866456840513	-0.9418944425767783	-0.9058905441304148	7.57188238162526	7.463870686286169	7.103831701822534	8.003929162981622	7.57188238162526
2020-04-16T00:49:01.004	-0.005793082971326413	-1.769984106843138	-0.9418944425767783	-0.9778983410231401	-0.8698866456840513	7.823909670749805	7.715897975410714	7.247847295607988	8.435975944337983	7.823909670749805
2020-04-16T01:29:01.003	0.1022186123677642	-1.8059880052895014	-0.9778983410231401	-1.0139022394695036	-0.9778983410231401	8.183948655213438	7.967925264535259	7.499874584732533	8.579991538123437	8.075936959874348
2020-04-16T02:09:01.004	0.13822251081412773	-1.769984106843138	-1.0139022394695036	-1.0139022394695036	-0.9418944425767783	8.435975944337983	8.291960350552529	7.57188238162526	8.688003233462528	8.147944756767075
2020-04-16T02:49:01.005	0.24623420615321834	-1.8779958021822285	-0.9778983410231401	-0.8698866456840513	-0.8698866456840513	8.651999335016164	8.50798374123071	7.859913569196168	9.048042217926163	8.579991538123437
2020-04-16T03:29:01.003	0.17422640926049127	-1.7339802083967744	-1.0139022394695036	-0.9058905441304148	-0.8698866456840513	8.724007131908891	8.688003233462528	8.075936959874348	9.264065608604344	8.688003233462528
2020-04-16T04:09:01.008	0.3182420030459454	-1.841991903735865	-1.0139022394695036	-0.9418944425767783	-0.8338827472376877	9.084046116372527	9.0120383194798	8.291960350552529	9.696112389960707	9.048042217926163
2020-04-16T04:49:01.004	0.35424590149230895	-1.841991903735865	-0.8698866456840513	-0.7978788487913242	-0.7618749503449607	9.372077303943435	9.22806171015798	8.471979842784346	9.912135780638886	9.300069507050708
2020-04-16T05:29:01.007	0.3902497999386725	-1.769984106843138	-0.9058905441304148	-0.8698866456840513	-0.8338827472376877	9.408081202389798	9.408081202389798	9.0120383194798	10.020147475977977	9.480088999282525
2020-04-16T06:09:01.006	0.46225759683139955	-1.6979763099504108	-0.9418944425767783	-0.9418944425767783	-0.9058905441304148	9.73211628840707	9.62410459306798	9.156053913265254	10.16416306976343	9.696112389960707
2020-04-16T06:49:01.004	0.5702692921704902	-1.6619724115040473	-0.8338827472376877	-0.7978788487913242	-0.8338827472376877	10.05615137442434	9.804124085299797	9.408081202389798	10.596209851119793	10.020147475977977
2020-04-16T07:29:01.004	0.6062731906168537	-1.5539607161649567	-0.8698866456840513	-0.8338827472376877	-0.8338827472376877	10.45219425733434	10.344182561995249	9.804124085299797	10.884241038690702	10.380186460441612
2020-04-16T08:09:01.004	0.6062731906168537	-1.6619724115040473	-0.8698866456840513	-0.7258710518985971	-0.7618749503449607	10.704221546458884	10.45219425733434	10.092155272870704	11.208276124707973	10.596209851119793
2020-04-16T08:49:01.005	0.5342653937241266	-1.6259685130576838	-0.8698866456840513	-0.8698866456840513	-0.9058905441304148	11.06426053092252	10.884241038690702	10.344182561995249	11.316287820047064	10.812233241797975
2020-04-16T09:29:01.005	0.7142848859559443	-2.058015294414046	-0.9778983410231401	-1.0139022394695036	-1.0139022394695036	11.2802839216007	11.208276124707973	10.308178663548885	11.712330702957063	11.136268327815246
2020-04-16T10:09:01.004	0.8222965812950349	-1.8779958021822285	-1.1579178332549578	-1.1219139348085942	-0.9418944425767783	11.604319007617972	11.388295616939791	10.56020595267343	12.324396976545241	11.388295616939791
2020-04-16T10:49:01.006	0.6782809875095808	-1.986007497521319	-0.9418944425767783	-0.9778983410231401	-1.0139022394695036	11.892350195188879	11.820342398296152	11.06426053092252	12.468412570330695	11.784338499849788
2020-04-16T11:29:01.004	0.894304378187762	-2.2020308881995003	-0.7978788487913242	-0.8698866456840513	-0.8698866456840513	12.00036189052797	11.892350195188879	11.06426053092252	12.900459351687058	11.964357992081606
2020-04-16T12:09:01.004	1.0023160735268526	-1.986007497521319	-0.8338827472376877	-0.8698866456840513	-0.7978788487913242	12.396404773437968	12.21638528120615	11.388295616939791	12.900459351687058	12.144377484313424
2020-04-16T12:49:01.008	0.9303082766341255	-2.0220113959676826	-0.6538632550058701	-0.9418944425767783	-0.7978788487913242	12.396404773437968	12.396404773437968	11.424299515386155	13.728549015953417	12.360400874991605
2020-04-16T12:49:01.008	1.1823355657586703	-2.0940191928604097	-0.6898671534522336	-0.6898671534522336	-0.7258710518985971	12.82845155479433	12.756443757901604	11.388295616939791	13.908568508185235	12.72043985945524
2020-04-16T13:29:01.006	1.0743238704195797	-2.2740386850922274	-0.7618749503449607	-0.7258710518985971	-0.7618749503449607	13.080478843918875	12.864455453240694	11.388295616939791	14.484630883327053	13.008471047026148
