,sircat_id,sc_insitu,sir_start_time,hss_start_time,sir_end_time,hss_end_time,hss_vtmax_time,sc_heliodistance,sc_long_heeq,sc_lat_heeq,hss_vtmax,hss_vtmean,hss_vtstd,hss_btmax,hss_btmean,hss_btstd,hss_bzmin,hss_bzmean,hss_bzstd,hss_duration,sir_vtmax,sir_vtmean,sir_vtstd,sir_btmax,sir_btmean,sir_btstd,sir_bzmin,sir_bzmean,sir_bzstd,sir_duration
292,SIR_STEREO_A_JIAN_20121228_01,STEREO-A,2012-12-27T05:12Z,2012-12-28T20:12Z,2012-12-29T14:00Z,,,0.961,129.02,-3.57,,,,,,,,,,,566.8,400.1,65.7,15.7,7.5,2.3,-13.3,-0.8,4.9,17.8
293,SIR_STEREO_A_JIAN_20130106_01,STEREO-A,2013-01-05T18:00Z,2013-01-06T04:13Z,2013-01-07T13:00Z,,,0.9602,129.26,-2.55,,,,,,,,,,,403.1,338.7,34.4,8.7,6.0,1.0,-6.5,0.9,3.0,32.78
294,SIR_STEREO_A_JIAN_20130211_01,STEREO-A,2013-02-11T03:03Z,2013-02-11T12:51Z,2013-02-12T00:00Z,,,0.9573,130.22,2.25,,,,,,,,,,,609.1,441.3,85.8,18.9,10.3,3.0,-14.0,0.6,5.8,11.15
295,SIR_STEREO_A_JIAN_20130310_01,STEREO-A,2013-03-10T06:55Z,2013-03-10T21:52Z,2013-03-12T22:37Z,,,0.9563,131.31,5.35,,,,,,,,,,,589.2,448.7,57.7,13.6,6.9,2.2,-12.6,-0.5,3.0,48.75
296,SIR_STEREO_A_JIAN_20130318_01,STEREO-A,2013-03-15T12:00Z,2013-03-18T08:04Z,2013-03-19T18:00Z,,,0.9563,131.71,5.98,,,,,,,,,,,554.1,415.6,55.3,11.5,5.9,1.8,-9.5,-0.5,3.2,33.93
297,SIR_STEREO_A_JIAN_20130323_01,STEREO-A,2013-03-22T15:30Z,2013-03-23T06:02Z,2013-03-23T22:00Z,,,0.9563,132.01,6.35,,,,,,,,,,,383.5,325.2,18.5,9.3,6.1,1.4,-8.6,-0.5,3.1,15.97
298,SIR_STEREO_A_JIAN_20130407_01,STEREO-A,2013-04-07T16:21Z,2013-04-07T20:37Z,2013-04-08T08:41Z,,,0.9567,133.1,7.14,,,,,,,,,,,663.1,420.4,96.9,21.8,12.3,4.0,-20.9,-2.7,6.7,12.07
299,SIR_STEREO_A_JIAN_20130419_01,STEREO-A,2013-04-18T16:00Z,2013-04-19T08:16Z,2013-04-19T14:19Z,,,0.9573,134.04,7.34,,,,,,,,,,,575.3,452.0,45.5,12.2,9.1,1.6,-10.3,-2.0,4.8,6.05
300,SIR_STEREO_A_JIAN_20130430_01,STEREO-A,2013-04-30T04:17Z,2013-04-30T10:26Z,2013-05-01T03:52Z,,,0.958,135.04,7.23,,,,,,,,,,,691.1,520.1,76.3,15.3,9.1,2.2,-11.5,1.1,5.3,17.43
301,SIR_STEREO_A_JIAN_20130506_01,STEREO-A,2013-05-06T00:00Z,2013-05-06T11:59Z,2013-05-07T00:00Z,,,0.9585,135.61,7.04,,,,,,,,,,,648.7,514.9,70.7,15.7,8.3,3.0,-13.8,1.0,6.3,12.02
302,SIR_STEREO_A_JIAN_20130510_01,STEREO-A,2013-05-09T02:00Z,2013-05-10T13:49Z,2013-05-11T12:00Z,,,0.9589,136.0,6.87,,,,,,,,,,,608.7,474.8,54.1,10.9,6.1,1.5,-9.9,-1.2,3.2,22.18
303,SIR_STEREO_A_JIAN_20130516_01,STEREO-A,2013-05-16T05:22Z,2013-05-16T13:08Z,2013-05-17T00:05Z,,,0.9594,136.58,6.54,,,,,,,,,,,586.6,470.4,76.4,30.1,15.6,7.5,-25.1,4.1,9.2,10.95
304,SIR_STEREO_A_JIAN_20130603_01,STEREO-A,2013-06-02T03:27Z,2013-06-03T16:28Z,2013-06-04T16:00Z,,,0.9611,138.34,5.09,,,,,,,,,,,671.9,433.9,90.9,19.6,10.9,4.4,-16.5,-1.3,6.5,23.53
305,SIR_STEREO_A_JIAN_20130611_01,STEREO-A,2013-06-10T08:46Z,2013-06-11T01:17Z,2013-06-11T14:05Z,,,0.9619,139.04,4.33,,,,,,,,,,,752.6,557.0,112.2,16.5,7.6,2.4,-8.8,0.4,2.8,12.8
306,SIR_STEREO_A_JIAN_20130703_01,STEREO-A,2013-07-01T23:42Z,2013-07-03T06:02Z,2013-07-05T23:12Z,,,0.9641,141.02,1.66,,,,,,,,,,,710.2,498.8,112.3,16.4,7.2,2.8,-11.4,-0.7,3.6,65.17
307,SIR_STEREO_A_JIAN_20130709_01,STEREO-A,2013-07-08T17:35Z,2013-07-09T05:21Z,2013-07-10T07:20Z,,,0.9646,141.51,0.88,,,,,,,,,,,556.4,447.6,46.6,12.2,6.2,1.6,-8.3,0.6,2.5,25.98
308,SIR_STEREO_A_JIAN_20130718_01,STEREO-A,2013-07-17T00:00Z,2013-07-18T16:14Z,2013-07-22T16:00Z,,,0.9654,142.24,-0.38,,,,,,,,,,,632.7,419.0,86.9,17.6,7.5,2.8,-12.5,-0.8,4.2,95.77
309,SIR_STEREO_A_JIAN_20130805_01,STEREO-A,2013-08-04T13:42Z,2013-08-05T04:45Z,2013-08-06T14:18Z,,,0.9666,143.5,-2.64,,,,,,,,,,,581.3,453.9,57.7,13.4,7.7,2.5,-7.9,0.3,3.0,33.55
310,SIR_STEREO_A_JIAN_20130814_01,STEREO-A,2013-08-12T13:46Z,2013-08-14T20:53Z,2013-08-16T17:30Z,,,0.967,144.13,-3.79,,,,,,,,,,,587.4,435.6,66.1,10.8,6.5,1.5,-9.0,-0.6,4.0,44.62
311,SIR_STEREO_A_JIAN_20130828_01,STEREO-A,2013-08-27T08:00Z,2013-08-28T02:13Z,2013-08-29T07:52Z,,,0.9674,144.95,-5.16,,,,,,,,,,,551.6,417.0,70.3,13.1,6.5,2.8,-8.2,0.8,3.6,29.65
312,SIR_STEREO_A_JIAN_20130902_01,STEREO-A,2013-09-02T02:20Z,2013-09-02T01:08Z,2013-09-03T08:00Z,,,0.9674,145.24,-5.61,,,,,,,,,,,429.6,371.0,21.6,11.0,8.0,1.6,-4.7,3.2,3.4,30.87
313,SIR_STEREO_A_JIAN_20130912_01,STEREO-A,2013-09-11T08:00Z,2013-09-12T05:15Z,2013-09-12T22:45Z,,,0.9674,145.83,-6.38,,,,,,,,,,,522.7,415.1,41.3,9.9,6.3,2.0,-5.7,-0.2,2.9,17.5
314,SIR_STEREO_A_JIAN_20130914_01,STEREO-A,2013-09-14T12:00Z,2013-09-14T16:30Z,2013-09-15T21:30Z,,,0.9673,145.97,-6.54,,,,,,,,,,,553.3,447.8,52.2,10.7,5.5,1.9,-7.4,0.5,3.1,29.0
315,SIR_STEREO_A_JIAN_20130924_01,STEREO-A,2013-09-24T08:00Z,2013-09-24T16:13Z,2013-09-25T12:00Z,,,0.9671,146.52,-7.03,,,,,,,,,,,579.3,453.8,75.3,14.5,7.0,2.7,-12.3,2.4,3.8,19.78
316,SIR_STEREO_A_JIAN_20130930_01,STEREO-A,2013-09-29T12:55Z,2013-09-30T10:34Z,2013-10-01T14:02Z,,,0.9668,146.83,-7.22,,,,,,,,,,,439.7,357.2,57.5,11.4,5.8,1.8,-7.2,-0.9,2.6,27.47
317,SIR_STEREO_A_JIAN_20131025_01,STEREO-A,2013-10-24T10:00Z,2013-10-25T16:59Z,2013-10-26T02:25Z,,,0.9652,148.12,-7.08,,,,,,,,,,,603.6,426.0,100.6,13.9,7.8,1.8,-10.8,-1.0,4.8,9.43
318,SIR_STEREO_A_JIAN_20131106_01,STEREO-A,2013-11-05T22:24Z,2013-11-06T03:10Z,2013-11-06T11:00Z,,,0.9643,148.65,-6.53,,,,,,,,,,,706.2,590.2,60.9,21.9,11.0,4.9,-18.5,-4.6,5.7,7.83
319,SIR_STEREO_A_JIAN_20131122_01,STEREO-A,2013-11-20T23:52Z,2013-11-22T13:38Z,2013-11-22T18:40Z,,,0.9627,149.35,-5.25,,,,,,,,,,,555.8,407.7,60.1,8.9,6.6,1.3,-8.1,-0.2,4.0,5.03
320,SIR_STEREO_A_JIAN_20131127_01,STEREO-A,2013-11-26T09:00Z,2013-11-27T19:07Z,2013-11-28T12:00Z,,,0.9621,149.56,-4.73,,,,,,,,,,,556.8,425.9,65.0,12.4,6.7,2.6,-5.9,0.1,2.6,16.88
321,SIR_STEREO_A_JIAN_20131213_01,STEREO-A,2013-12-12T23:30Z,2013-12-13T12:46Z,2013-12-14T14:00Z,,,0.9606,150.11,-2.95,,,,,,,,,,,433.3,337.5,23.5,9.7,6.4,1.6,-7.0,1.0,3.4,25.23
322,SIR_STEREO_A_JIAN_20131216_01,STEREO-A,2013-12-15T07:00Z,2013-12-16T05:50Z,2013-12-17T16:07Z,,,0.9603,150.2,-2.61,,,,,,,,,,,631.3,478.0,73.3,16.2,8.2,2.8,-13.4,-2.3,4.5,34.28
323,SIR_STEREO_A_JIAN_20131225_01,STEREO-A,2013-12-24T20:06Z,2013-12-25T00:15Z,2013-12-26T05:04Z,,,0.9595,150.47,-1.49,,,,,,,,,,,450.7,386.2,21.7,20.6,11.3,3.9,-17.4,-4.5,6.5,28.82
324,SIR_STEREO_A_JIAN_20131230_01,STEREO-A,2013-12-29T03:39Z,2013-12-30T08:11Z,2013-12-31T02:12Z,,,0.959,150.63,-0.78,,,,,,,,,,,485.2,411.9,25.1,11.9,7.3,2.0,-9.6,-1.3,3.9,18.02
325,SIR_STEREO_A_JIAN_20140105_01,STEREO-A,2014-01-05T07:00Z,2014-01-05T21:57Z,2014-01-07T03:00Z,,,0.9584,150.82,0.1,,,,,,,,,,,412.7,336.3,26.0,11.9,7.7,1.8,-10.1,-2.5,3.5,29.05
326,SIR_STEREO_A_JIAN_20140109_01,STEREO-A,2014-01-08T08:00Z,2014-01-09T15:48Z,2014-01-11T03:32Z,,,0.9581,150.93,0.61,,,,,,,,,,,583.2,500.7,40.7,21.4,10.3,4.7,-12.1,4.4,5.9,35.73
327,SIR_STEREO_A_JIAN_20140121_01,STEREO-A,2014-01-20T19:21Z,2014-01-21T20:23Z,2014-01-23T22:00Z,,,0.9573,151.28,2.22,,,,,,,,,,,831.9,508.6,131.6,17.2,8.9,3.0,-12.2,0.8,5.1,49.62
328,SIR_STEREO_A_JIAN_20140216_01,STEREO-A,2014-02-15T05:50Z,2014-02-16T08:20Z,2014-02-17T16:15Z,,,0.9563,152.16,5.14,,,,,,,,,,,727.6,485.9,105.8,20.4,8.9,2.8,-16.2,-1.0,5.2,31.92
329,SIR_STEREO_A_JIAN_20140304_01,STEREO-A,2014-03-03T08:30Z,2014-03-04T04:29Z,2014-03-04T18:50Z,,,0.9563,152.88,6.44,,,,,,,,,,,458.5,339.7,36.9,11.0,6.3,1.8,-9.9,0.9,3.5,14.35
330,SIR_STEREO_A_JIAN_20140307_01,STEREO-A,2014-03-06T12:00Z,2014-03-07T18:49Z,2014-03-09T06:00Z,,,0.9564,153.07,6.66,,,,,,,,,,,610.4,437.8,71.6,15.1,7.0,1.7,-13.1,0.8,4.0,35.18
331,SIR_STEREO_A_JIAN_20140314_01,STEREO-A,2014-03-14T01:16Z,2014-03-14T17:23Z,2014-03-15T14:25Z,,,0.9566,153.46,7.0,,,,,,,,,,,722.6,513.1,92.5,10.9,7.4,1.6,-8.0,1.7,3.4,21.03
332,SIR_STEREO_A_JIAN_20140425_01,STEREO-A,2014-04-24T07:00Z,2014-04-25T13:09Z,2014-04-25T17:15Z,,,0.9593,156.5,6.57,,,,,,,,,,,494.2,353.1,57.7,12.0,8.8,1.3,-10.1,-0.7,3.3,4.1
333,SIR_STEREO_A_JIAN_20140429_01,STEREO-A,2014-04-28T16:47Z,2014-04-29T15:54Z,2014-04-30T19:05Z,,,0.9597,156.84,6.3,,,,,,,,,,,399.7,334.4,20.2,11.1,7.7,1.3,-8.8,2.0,4.7,27.18
334,SIR_STEREO_A_JIAN_20140506_01,STEREO-A,2014-05-06T02:37Z,2014-05-06T09:43Z,2014-05-07T02:00Z,,,0.9604,157.41,5.79,,,,,,,,,,,482.4,420.5,34.1,16.0,9.2,2.8,-12.8,2.7,6.2,16.28
335,SIR_STEREO_A_JIAN_20140604_01,STEREO-A,2014-06-03T07:27Z,2014-06-04T09:22Z,2014-06-05T00:00Z,,,0.9633,159.91,2.73,,,,,,,,,,,673.7,457.6,98.5,16.3,9.8,2.8,-14.5,-0.6,4.9,14.63
336,SIR_STEREO_A_JIAN_20140630_01,STEREO-A,2014-06-28T22:00Z,2014-06-30T03:56Z,2014-07-01T10:42Z,,,0.9656,162.06,-0.63,,,,,,,,,,,574.7,422.4,52.7,12.6,8.2,2.6,-9.9,1.2,4.2,30.77
337,SIR_STEREO_A_JIAN_20140705_01,STEREO-A,2014-07-04T16:53Z,2014-07-05T09:11Z,2014-07-05T21:00Z,,,0.9659,162.47,-1.32,,,,,,,,,,,362.7,324.9,11.9,12.1,6.6,2.6,-10.3,-1.1,3.8,11.82
338,SIR_STEREO_A_JIAN_20140721_01,STEREO-A,2014-07-16T18:45Z,2014-07-21T13:46Z,2014-07-23T00:00Z,,,0.9669,163.72,-3.34,,,,,,,,,,,535.0,392.5,56.8,10.3,6.1,1.3,-7.6,-0.7,3.2,34.23
339,SIR_STEREO_A_JIAN_20140727_01,STEREO-A,2014-07-27T09:48Z,2014-07-27T17:40Z,2014-07-29T11:00Z,,,0.9671,164.18,-4.04,,,,,,,,,,,567.6,427.5,65.0,18.2,8.8,3.2,-14.6,-0.4,4.7,41.33
340,SIR_STEREO_A_JIAN_20140803_01,STEREO-A,2014-08-02T08:00Z,2014-08-03T23:34Z,2014-08-05T08:00Z,,,0.9673,164.7,-4.81,,,,,,,,,,,490.6,380.5,50.7,10.5,6.2,1.6,-9.6,-0.2,3.6,32.43
341,SIR_STEREO_A_JIAN_20151118_01,STEREO-A,2015-11-17T14:00Z,2015-11-18T14:36Z,2015-11-19T06:47Z,,,0.959,-167.69,-0.89,,,,,,,,,,,754.1,481.7,156.9,21.1,9.6,3.5,-10.9,-0.0,4.6,16.18
342,SIR_STEREO_A_JIAN_20151123_01,STEREO-A,2015-11-21T16:00Z,2015-11-23T07:34Z,2015-11-26T00:00Z,,,0.9586,-167.5,-0.26,,,,,,,,,,,653.2,463.2,56.9,11.2,7.0,1.7,-10.1,-0.3,3.4,64.43
343,SIR_STEREO_A_JIAN_20151127_01,STEREO-A,2015-11-26T17:00Z,2015-11-27T02:00Z,2015-11-29T00:00Z,,,0.9583,-167.35,0.25,,,,,,,,,,,680.7,542.7,67.0,14.3,6.9,2.1,-11.2,-0.2,3.7,46.0
344,SIR_STEREO_A_JIAN_20151202_01,STEREO-A,2015-12-01T19:00Z,2015-12-02T12:35Z,2015-12-03T19:00Z,,,0.9579,-167.14,0.98,,,,,,,,,,,642.4,486.1,44.8,23.6,12.0,4.9,-14.0,-4.2,4.1,30.42
345,SIR_STEREO_A_JIAN_20151213_01,STEREO-A,2015-12-10T00:00Z,2015-12-13T07:45Z,2015-12-14T00:00Z,,,0.9572,-166.72,2.39,,,,,,,,,,,481.1,354.9,41.1,14.6,8.3,2.4,-12.8,-1.3,3.5,16.25
346,SIR_STEREO_A_JIAN_20151221_01,STEREO-A,2015-12-20T20:00Z,2015-12-21T18:47Z,2015-12-23T00:00Z,,,0.9568,-166.38,3.44,,,,,,,,,,,709.1,499.1,125.0,16.0,9.4,3.2,-13.8,-0.1,5.2,29.22
347,SIR_STEREO_A_JIAN_20151224_01,STEREO-A,2015-12-23T21:00Z,2015-12-24T10:38Z,2015-12-25T03:30Z,,,0.9566,-166.27,3.75,,,,,,,,,,,661.2,521.8,76.2,10.0,7.0,1.4,-7.3,0.3,3.5,16.87
348,SIR_STEREO_A_JIAN_20160101_01,STEREO-A,2015-12-31T02:00Z,2016-01-01T11:02Z,2016-01-02T07:00Z,,,0.9564,-165.94,4.64,,,,,,,,,,,487.2,397.8,33.3,10.3,7.3,1.1,-7.1,-0.2,3.1,19.97
349,SIR_STEREO_A_JIAN_20160104_01,STEREO-A,2016-01-04T03:00Z,2016-01-04T13:58Z,2016-01-05T22:33Z,,,0.9563,-165.82,4.96,,,,,,,,,,,490.3,393.8,32.3,13.9,6.1,1.5,-12.1,0.5,3.0,32.58
350,SIR_STEREO_A_JIAN_20160117_01,STEREO-A,2016-01-15T00:00Z,2016-01-17T23:30Z,2016-01-18T12:00Z,,,0.9562,-165.25,6.14,,,,,,,,,,,746.8,460.1,83.6,17.1,7.9,2.5,-13.6,0.2,4.1,12.5
351,SIR_STEREO_A_JIAN_20160121_01,STEREO-A,2016-01-20T14:00Z,2016-01-21T17:32Z,2016-01-23T20:00Z,,,0.9563,-165.09,6.4,,,,,,,,,,,597.8,490.7,54.1,9.5,6.2,1.5,-7.1,0.4,2.9,50.47
352,SIR_STEREO_A_JIAN_20160126_01,STEREO-A,2016-01-26T13:00Z,2016-01-26T18:11Z,2016-01-27T12:00Z,,,0.9564,-164.86,6.71,,,,,,,,,,,593.0,472.4,51.6,20.2,8.8,2.8,-19.4,-1.7,5.1,17.82
353,SIR_STEREO_A_JIAN_20160204_01,STEREO-A,2016-02-04T04:00Z,2016-02-04T12:35Z,2016-02-05T11:19Z,,,0.9566,-164.46,7.1,,,,,,,,,,,512.6,386.8,62.7,15.0,7.8,2.7,-9.4,-0.9,2.8,22.73
354,SIR_STEREO_A_JIAN_20160207_01,STEREO-A,2016-02-07T00:12Z,2016-02-07T12:19Z,2016-02-09T10:00Z,,,0.9568,-164.33,7.2,,,,,,,,,,,455.4,379.8,30.8,12.4,6.0,2.1,-7.0,-0.4,2.1,45.68
355,SIR_STEREO_A_JIAN_20160212_01,STEREO-A,2016-02-11T08:20Z,2016-02-12T06:43Z,2016-02-12T18:28Z,,,0.957,-164.11,7.3,,,,,,,,,,,515.2,377.5,58.8,15.9,9.9,2.7,-11.7,2.5,4.8,11.75
356,SIR_STEREO_A_JIAN_20160218_01,STEREO-A,2016-02-17T00:00Z,2016-02-18T11:35Z,2016-02-19T12:00Z,,,0.9573,-163.82,7.35,,,,,,,,,,,649.0,492.6,61.8,11.3,7.3,1.4,-7.9,0.6,3.6,24.42
357,SIR_STEREO_A_JIAN_20160223_01,STEREO-A,2016-02-22T14:00Z,2016-02-23T02:58Z,2016-02-24T01:00Z,,,0.9576,-163.59,7.32,,,,,,,,,,,674.6,498.2,88.2,24.0,9.9,4.5,-22.3,-0.9,5.3,22.03
358,SIR_STEREO_A_JIAN_20160227_01,STEREO-A,2016-02-26T11:10Z,2016-02-27T17:59Z,2016-02-28T12:00Z,,,0.958,-163.37,7.24,,,,,,,,,,,424.5,351.7,13.1,10.4,7.6,1.1,-9.4,-2.4,3.1,18.02
359,SIR_STEREO_A_JIAN_20160301_01,STEREO-A,2016-02-29T09:10Z,2016-03-01T08:06Z,2016-03-02T07:49Z,,,0.9582,-163.24,7.17,,,,,,,,,,,446.3,358.3,26.8,10.4,6.1,1.7,-7.6,0.7,2.9,23.72
360,SIR_STEREO_A_JIAN_20160309_01,STEREO-A,2016-03-08T18:00Z,2016-03-09T04:38Z,2016-03-11T11:00Z,,,0.9588,-162.85,6.87,,,,,,,,,,,625.7,452.1,66.8,13.3,8.0,2.0,-9.9,1.3,4.2,54.37
361,SIR_STEREO_A_JIAN_20160316_01,STEREO-A,2016-03-16T15:43Z,2016-03-16T21:44Z,2016-03-17T20:16Z,,,0.9595,-162.46,6.43,,,,,,,,,,,544.8,465.5,30.3,16.5,9.4,2.7,-10.1,1.9,5.2,22.53
362,SIR_STEREO_A_JIAN_20160322_01,STEREO-A,2016-03-21T19:00Z,2016-03-22T23:34Z,2016-03-24T18:00Z,,,0.9601,-162.14,6.0,,,,,,,,,,,535.0,425.1,57.3,10.9,6.6,2.1,-8.2,-0.7,3.4,42.43
363,SIR_STEREO_A_JIAN_20160328_01,STEREO-A,2016-03-26T18:40Z,2016-03-28T06:41Z,2016-03-30T01:19Z,,,0.9606,-161.85,5.56,,,,,,,,,,,434.1,356.8,32.0,9.8,5.2,1.6,-5.4,0.3,2.1,42.63
364,SIR_STEREO_A_JIAN_20160330_01,STEREO-A,2016-03-30T08:00Z,2016-03-30T21:41Z,2016-04-02T23:00Z,,,0.9609,-161.71,5.32,,,,,,,,,,,584.0,467.7,59.1,15.7,7.7,2.6,-8.5,0.5,2.9,73.32
365,SIR_STEREO_A_JIAN_20160407_01,STEREO-A,2016-04-07T00:00Z,2016-04-07T14:16Z,2016-04-08T22:00Z,,,0.9617,-161.29,4.56,,,,,,,,,,,571.3,437.4,63.7,14.6,8.5,2.3,-13.9,-0.8,4.8,31.73
366,SIR_STEREO_A_JIAN_20160410_01,STEREO-A,2016-04-10T05:52Z,2016-04-10T21:50Z,2016-04-11T09:00Z,,,0.962,-161.1,4.2,,,,,,,,,,,658.3,521.5,73.8,10.5,7.0,1.5,-9.3,-0.4,3.8,11.17
367,SIR_STEREO_A_JIAN_20160425_01,STEREO-A,2016-04-24T13:00Z,2016-04-25T07:07Z,2016-04-25T13:45Z,,,0.9635,-160.23,2.5,,,,,,,,,,,498.2,373.8,37.5,13.2,8.0,1.7,-6.5,2.5,3.9,6.63
368,SIR_STEREO_A_JIAN_20160427_01,STEREO-A,2016-04-26T19:00Z,2016-04-27T12:37Z,2016-04-28T18:00Z,,,0.9637,-160.09,2.22,,,,,,,,,,,661.9,514.7,61.4,16.4,10.2,3.0,-13.3,0.3,4.4,29.38
369,SIR_STEREO_A_JIAN_20160504_01,STEREO-A,2016-05-04T00:00Z,2016-05-04T06:41Z,2016-05-05T18:00Z,,,0.9643,-159.66,1.35,,,,,,,,,,,552.8,411.8,71.7,15.8,10.5,3.1,-14.0,-0.3,5.3,35.32
370,SIR_STEREO_A_JIAN_20160507_01,STEREO-A,2016-05-07T08:15Z,2016-05-07T17:08Z,2016-05-08T18:00Z,,,0.9647,-159.43,0.9,,,,,,,,,,,694.3,563.5,67.3,12.0,7.5,1.7,-11.8,0.1,4.0,24.87
371,SIR_STEREO_A_JIAN_20160510_01,STEREO-A,2016-05-09T19:17Z,2016-05-10T16:32Z,2016-05-11T20:00Z,,,0.9649,-159.23,0.51,,,,,,,,,,,638.6,501.8,56.6,10.0,6.9,1.6,-9.0,0.2,3.8,27.47
372,SIR_STEREO_A_JIAN_20160515_01,STEREO-A,2016-05-14T21:23Z,2016-05-15T12:57Z,2016-05-17T06:00Z,,,0.9653,-158.89,-0.14,,,,,,,,,,,500.5,413.7,34.6,16.5,9.1,3.1,-13.7,-2.8,4.8,41.05
373,SIR_STEREO_A_JIAN_20160523_01,STEREO-A,2016-05-22T18:00Z,2016-05-23T17:10Z,2016-05-24T20:00Z,,,0.9659,-158.3,-1.21,,,,,,,,,,,692.9,494.8,120.1,14.5,9.2,2.7,-11.6,-0.6,4.3,26.83
374,SIR_STEREO_A_JIAN_20160530_01,STEREO-A,2016-05-29T17:10Z,2016-05-30T07:57Z,2016-05-31T09:20Z,,,0.9664,-157.8,-2.07,,,,,,,,,,,605.9,482.0,49.0,12.9,9.3,1.5,-11.3,0.1,4.1,25.38
375,SIR_STEREO_A_JIAN_20160603_01,STEREO-A,2016-06-03T06:00Z,2016-06-03T11:35Z,2016-06-04T01:30Z,,,0.9666,-157.48,-2.59,,,,,,,,,,,669.9,476.8,74.4,17.6,9.5,2.4,-17.0,-1.1,4.6,13.92
376,SIR_STEREO_A_JIAN_20160611_01,STEREO-A,2016-06-11T16:30Z,2016-06-11T23:08Z,2016-06-13T05:30Z,,,0.967,-156.81,-3.6,,,,,,,,,,,484.0,408.5,22.2,18.1,11.4,2.6,-10.0,2.4,5.5,30.37
377,SIR_STEREO_A_JIAN_20160620_01,STEREO-A,2016-06-17T16:00Z,2016-06-20T19:13Z,2016-06-22T16:00Z,,,0.9673,-156.08,-4.57,,,,,,,,,,,564.0,424.5,40.1,13.9,6.5,1.9,-8.6,0.4,3.3,44.78
378,SIR_STEREO_A_JIAN_20160625_01,STEREO-A,2016-06-24T12:34Z,2016-06-25T06:55Z,2016-06-26T06:00Z,,,0.9674,-155.7,-5.02,,,,,,,,,,,610.4,443.3,74.7,14.3,9.5,2.3,-12.2,-1.1,5.4,23.08
379,SIR_STEREO_A_JIAN_20160630_01,STEREO-A,2016-06-29T18:00Z,2016-06-30T05:07Z,2016-07-01T00:00Z,,,0.9675,-155.28,-5.48,,,,,,,,,,,726.7,603.6,67.7,11.3,7.6,1.4,-7.6,-0.0,2.6,18.88
380,SIR_STEREO_A_JIAN_20160708_01,STEREO-A,2016-07-07T05:00Z,2016-07-08T00:07Z,2016-07-09T05:00Z,,,0.9675,-154.61,-6.11,,,,,,,,,,,751.2,609.7,89.2,10.9,6.8,1.3,-9.5,0.6,3.3,28.88
381,SIR_STEREO_A_JIAN_20160717_01,STEREO-A,2016-07-16T19:00Z,2016-07-17T06:26Z,2016-07-18T06:00Z,,,0.9673,-153.81,-6.7,,,,,,,,,,,669.7,549.9,72.3,14.8,7.3,2.3,-12.2,0.7,4.0,23.57
382,SIR_STEREO_A_JIAN_20160722_01,STEREO-A,2016-07-22T11:00Z,2016-07-22T18:30Z,2016-07-23T08:30Z,,,0.9672,-153.34,-6.97,,,,,,,,,,,641.2,509.5,78.1,18.4,9.7,3.3,-14.6,-1.2,5.3,14.0
383,SIR_STEREO_A_JIAN_20160803_01,STEREO-A,2016-08-03T17:11Z,2016-08-03T18:55Z,2016-08-04T08:25Z,,,0.9667,-152.32,-7.31,,,,,,,,,,,728.1,517.0,83.5,17.2,11.6,2.6,-13.0,0.6,5.9,13.5
384,SIR_STEREO_A_JIAN_20160813_01,STEREO-A,2016-08-12T15:00Z,2016-08-13T07:26Z,2016-08-15T04:00Z,,,0.9661,-151.55,-7.33,,,,,,,,,,,725.8,600.6,62.3,9.7,5.2,1.4,-6.4,0.2,2.5,44.57
385,SIR_STEREO_A_JIAN_20160819_01,STEREO-A,2016-08-18T11:00Z,2016-08-19T00:48Z,2016-08-20T06:00Z,,,0.9657,-151.11,-7.24,,,,,,,,,,,450.5,389.7,28.1,10.8,6.5,1.8,-7.8,-0.4,3.1,29.2
386,SIR_STEREO_A_JIAN_20160822_01,STEREO-A,2016-08-21T14:00Z,2016-08-22T07:47Z,2016-08-24T10:30Z,,,0.9654,-150.86,-7.15,,,,,,,,,,,797.0,523.4,125.6,15.1,7.8,1.8,-11.4,-0.8,3.5,50.72
387,SIR_STEREO_A_JIAN_20160831_01,STEREO-A,2016-08-31T01:00Z,2016-08-31T13:21Z,2016-09-02T05:15Z,,,0.9646,-150.19,-6.77,,,,,,,,,,,726.3,569.9,113.0,17.8,7.3,3.2,-12.5,0.3,4.6,39.9
388,SIR_STEREO_A_JIAN_20160904_01,STEREO-A,2016-09-04T03:00Z,2016-09-04T11:10Z,2016-09-05T23:00Z,,,0.9643,-149.92,-6.55,,,,,,,,,,,691.5,577.7,64.0,9.5,6.1,1.3,-6.9,-0.1,3.0,35.83
389,SIR_STEREO_A_JIAN_20160909_01,STEREO-A,2016-09-08T15:46Z,2016-09-09T00:58Z,2016-09-09T12:00Z,,,0.9638,-149.62,-6.25,,,,,,,,,,,536.2,420.8,53.2,16.7,8.9,3.1,-12.8,0.1,5.3,11.03
390,SIR_STEREO_A_JIAN_20160914_01,STEREO-A,2016-09-13T19:00Z,2016-09-14T00:23Z,2016-09-14T09:30Z,,,0.9634,-149.3,-5.88,,,,,,,,,,,585.0,470.9,54.5,12.4,6.8,2.3,-7.8,0.8,3.5,9.12
391,SIR_STEREO_A_JIAN_20160917_01,STEREO-A,2016-09-16T12:00Z,2016-09-17T10:10Z,2016-09-18T06:00Z,,,0.963,-149.09,-5.59,,,,,,,,,,,687.1,477.7,80.0,15.0,8.6,2.0,-12.6,-0.5,5.1,19.83
