# List of SIR/HSS events during 1995-2017 by M. Grandin, A. T. Aikio, and A. Kozlovsky
# Associated manuscript: Properties and geoeffectiveness of solar wind high-speed streams and stream interaction regions during solar cycles 23 and 24
# Submitted to J. Geophys. Res. Space Physics, December 2018
# Notes: 
# (i) V_max corresponds to the maximum solar wind speed value during the first three days after the beginning of the event.
# (ii) The end time corresponds to the first time when the solar wind speed drops below 450 km/s after reaching its maximum value.
# (iii) The last column indicates whether an ICME with Vmax < 500 km/s is embedded in the SIR/HSS event (as per the Richardson and Cane list of ICMEs).

HSS#	YYYY0	MM0	DD0	HH0	V_0	YYYYmax	MMmax	DDmax	HHmax	V_max	YYYYend	MMend	DDend	HHend	slowICME
426	2011	4	29	15	346	2011	5	2	02	697	2011	5	4	20	0
427	2011	5	14	15	320	2011	5	17	08	596	2011	5	18	16	0
428	2011	6	11	09	389	2011	6	14	09	526	2011	6	16	00	0
429	2011	6	20	15	400	2011	6	23	04	661	2011	6	27	13	0
430	2011	7	9	05	342	2011	7	12	05	685	2011	7	15	10	0
431	2011	7	19	00	410	2011	7	21	04	731	2011	7	24	15	0
432	2011	7	24	21	436	2011	7	25	18	601	2011	7	27	07	0
433	2011	7	29	06	313	2011	8	1	00	686	2011	8	2	16	0
434	2011	8	13	20	325	2011	8	16	08	575	2011	8	16	14	0
435	2011	8	23	04	353	2011	8	24	02	569	2011	8	25	09	0
436	2011	8	28	16	397	2011	8	29	12	534	2011	8	29	20	0
437	2011	10	1	03	444	2011	10	1	13	564	2011	10	2	21	0
438	2012	1	12	17	392	2012	1	13	06	542	2012	1	13	19	0
439	2012	1	21	16	321	2012	1	24	16	673	2012	1	26	11	1
440	2012	2	6	23	393	2012	2	8	02	504	2012	2	8	17	0
441	2012	2	18	16	308	2012	2	20	07	557	2012	2	21	14	0
442	2012	2	22	01	382	2012	2	22	17	545	2012	2	23	10	0
443	2012	3	12	08	404	2012	3	12	19	727	2012	3	20	04	0
444	2012	4	11	07	317	2012	4	13	10	643	2012	4	15	15	0
445	2012	5	8	07	287	2012	5	10	04	638	2012	5	13	09	0
446	2012	5	21	19	344	2012	5	23	06	639	2012	5	25	14	0
447	2012	6	3	22	332	2012	6	6	10	735	2012	6	9	15	0
448	2012	6	25	11	352	2012	6	28	01	504	2012	6	28	07	0
449	2012	6	29	12	391	2012	7	1	12	689	2012	7	6	01	0
450	2012	8	13	09	421	2012	8	16	05	508	2012	8	17	05	0
451	2012	8	19	04	373	2012	8	20	02	579	2012	8	21	07	0
452	2012	8	24	11	364	2012	8	27	06	698	2012	8	28	17	0
453	2012	9	19	06	348	2012	9	20	14	578	2012	9	21	04	0
454	2012	10	8	04	318	2012	10	10	01	551	2012	10	11	07	1
455	2012	10	16	17	350	2012	10	18	11	598	2012	10	19	11	0
456	2012	11	6	19	301	2012	11	7	22	501	2012	11	8	06	1
457	2013	1	11	16	283	2013	1	14	04	552	2013	1	15	12	0
458	2013	1	24	20	272	2013	1	26	22	531	2013	1	27	14	0
459	2013	2	28	05	317	2013	3	2	02	638	2013	3	3	15	0
460	2013	3	26	20	351	2013	3	27	21	544	2013	3	28	08	0
461	2013	4	22	19	262	2013	4	25	19	549	2013	4	27	18	0
462	2013	5	5	17	399	2013	5	7	18	548	2013	5	9	23	0
463	2013	5	31	15	333	2013	6	2	13	774	2013	6	7	01	0
464	2013	6	19	22	283	2013	6	22	04	634	2013	6	26	12	0
465	2013	6	29	10	404	2013	6	30	17	560	2013	7	1	23	0
466	2013	7	17	12	336	2013	7	19	14	633	2013	7	20	21	0
467	2013	7	25	08	309	2013	7	26	08	572	2013	7	27	08	0
468	2013	8	3	20	319	2013	8	5	09	566	2013	8	6	14	0
469	2013	8	13	09	337	2013	8	16	09	743	2013	8	19	13	0
470	2013	8	30	08	343	2013	9	1	11	552	2013	9	2	01	0
471	2013	9	12	11	341	2013	9	14	04	576	2013	9	15	01	0
472	2013	9	17	16	360	2013	9	19	12	557	2013	9	20	13	0
473	2013	10	14	05	338	2013	10	15	18	546	2013	10	17	06	0
474	2013	11	7	10	362	2013	11	9	16	611	2013	11	12	00	1
475	2013	11	16	04	332	2013	11	17	00	536	2013	11	17	18	0
476	2013	12	7	02	328	2013	12	8	14	639	2013	12	9	15	0
477	2013	12	31	19	369	2014	1	2	22	625	2014	1	5	12	0
478	2014	1	11	14	391	2014	1	13	07	907	2014	1	15	21	0
479	2014	1	21	12	318	2014	1	22	08	589	2014	1	23	00	0
480	2014	3	20	19	321	2014	3	23	04	526	2014	3	23	08	0
481	2014	3	25	12	382	2014	3	25	21	516	2014	3	26	07	0
482	2014	5	22	10	305	2014	5	23	16	510	2014	5	24	17	0
483	2014	8	10	06	308	2014	8	12	04	503	2014	8	12	11	0
484	2014	9	19	02	354	2014	9	21	04	572	2014	9	21	23	0
485	2014	10	19	12	379	2014	10	21	12	653	2014	10	23	00	0
488	2014	11	30	23	405	2014	12	2	02	592	2014	12	3	00	0
489	2014	12	6	05	401	2014	12	7	19	766	2014	12	11	02	0
490	2014	12	11	18	393	2014	12	13	04	613	2014	12	14	06	0
491	2014	12	23	10	323	2014	12	24	17	562	2014	12	25	18	0
492	2014	12	28	10	377	2014	12	30	04	705	2015	1	1	18	0
493	2015	1	2	23	378	2015	1	5	21	529	2015	1	7	01	1
494	2015	1	10	01	398	2015	1	11	07	599	2015	1	11	19	0
495	2015	1	26	06	354	2015	1	28	04	518	2015	1	28	08	0
496	2015	1	31	21	401	2015	2	2	05	693	2015	2	4	15	0
497	2015	2	7	22	397	2015	2	8	15	559	2015	2	9	08	0
498	2015	2	27	23	326	2015	3	2	13	644	2015	3	3	16	0
499	2015	3	5	23	414	2015	3	8	15	577	2015	3	9	11	0
500	2015	3	31	07	335	2015	4	3	03	516	2015	4	6	23	1
501	2015	4	14	10	317	2015	4	17	05	727	2015	4	19	05	0
502	2015	4	20	03	391	2015	4	21	14	584	2015	4	23	10	0
503	2015	5	12	19	336	2015	5	14	00	732	2015	5	16	10	0
504	2015	5	18	16	362	2015	5	19	15	536	2015	5	20	16	1
505	2015	6	7	04	299	2015	6	8	12	663	2015	6	14	04	0
506	2015	7	4	07	316	2015	7	4	21	570	2015	7	7	14	0
507	2015	7	14	16	443	2015	7	15	01	557	2015	7	17	09	0
508	2015	7	30	11	342	2015	8	2	09	613	2015	8	4	04	0
509	2015	8	18	23	415	2015	8	20	11	517	2015	8	20	21	0
510	2015	8	22	10	363	2015	8	23	18	582	2015	8	24	15	0
511	2015	9	2	01	345	2015	9	4	06	523	2015	9	4	07	0
512	2015	9	10	23	397	2015	9	11	12	640	2015	9	13	19	1
513	2015	9	14	07	419	2015	9	15	11	523	2015	9	17	01	0
514	2015	10	6	15	386	2015	10	7	21	775	2015	10	11	23	0
515	2015	10	12	08	431	2015	10	13	06	581	2015	10	15	13	0
516	2015	11	28	02	296	2015	11	30	10	534	2015	12	1	01	0
517	2015	12	5	10	415	2015	12	7	13	652	2015	12	9	14	0
518	2015	12	9	22	439	2015	12	11	13	662	2015	12	13	23	0
519	2015	12	14	12	398	2015	12	16	02	600	2015	12	16	19	0
520	2015	12	22	11	429	2015	12	24	21	532	2015	12	28	10	0
521	2016	1	5	10	380	2016	1	6	12	617	2016	1	9	02	0
522	2016	1	11	07	401	2016	1	12	08	611	2016	1	15	01	0
523	2016	1	18	21	302	2016	1	21	18	509	2016	1	23	22	1
524	2016	2	16	04	415	2016	2	18	03	651	2016	2	20	16	0
525	2016	3	6	04	357	2016	3	7	12	588	2016	3	8	19	1
526	2016	3	11	05	304	2016	3	11	21	569	2016	3	13	09	0
527	2016	3	14	16	367	2016	3	17	07	576	2016	3	18	05	0
528	2016	3	21	22	387	2016	3	24	22	522	2016	3	25	21	0
529	2016	3	26	15	355	2016	3	29	05	532	2016	3	31	10	0
530	2016	4	2	11	342	2016	4	2	22	508	2016	4	3	04	0
531	2016	4	10	05	327	2016	4	13	05	591	2016	4	14	15	0
532	2016	4	20	11	324	2016	4	22	20	586	2016	4	23	03	0
533	2016	4	23	14	417	2016	4	24	15	566	2016	4	26	11	0
534	2016	4	30	06	348	2016	5	3	06	578	2016	5	4	10	0
535	2016	5	6	05	379	2016	5	8	20	658	2016	5	11	16	0
536	2016	5	14	18	316	2016	5	17	10	534	2016	5	18	17	0
537	2016	5	20	18	418	2016	5	22	06	623	2016	5	23	20	0
538	2016	5	27	01	348	2016	5	28	07	515	2016	5	29	09	0
539	2016	6	4	23	316	2016	6	6	04	627	2016	6	8	00	0
540	2016	6	10	12	347	2016	6	13	07	561	2016	6	14	05	0
541	2016	6	14	09	441	2016	6	15	04	676	2016	6	20	16	0
542	2016	6	22	09	345	2016	6	25	00	529	2016	6	25	18	0
543	2016	7	6	19	312	2016	7	9	17	638	2016	7	11	22	0
544	2016	7	28	00	322	2016	7	29	09	626	2016	7	30	15	0
545	2016	8	2	04	308	2016	8	4	12	607	2016	8	13	12	1
546	2016	8	21	05	307	2016	8	24	02	582	2016	8	26	17	0
547	2016	8	29	19	339	2016	9	1	17	569	2016	9	8	11	0
548	2016	9	17	10	328	2016	9	20	10	700	2016	9	22	22	0
549	2016	9	25	06	347	2016	9	28	00	709	2016	10	6	03	0
550	2016	10	22	22	367	2016	10	25	16	717	2016	11	2	02	0
551	2016	11	9	06	300	2016	11	12	06	575	2016	11	16	05	1
552	2016	11	21	20	327	2016	11	24	12	501	2016	11	28	19	0
553	2016	12	5	00	284	2016	12	7	22	538	2016	12	14	19	0
554	2016	12	20	06	344	2016	12	23	04	719	2016	12	28	14	0
555	2016	12	31	05	309	2016	12	31	20	555	2017	1	2	02	0
556	2017	1	4	04	387	2017	1	6	04	745	2017	1	11	19	0
557	2017	1	17	21	305	2017	1	19	09	610	2017	1	23	12	0
558	2017	1	26	07	335	2017	1	27	06	635	2017	1	29	01	0
559	2017	1	30	04	400	2017	1	31	20	749	2017	2	8	17	0
560	2017	2	15	10	299	2017	2	18	06	526	2017	2	21	00	0
561	2017	2	27	10	361	2017	3	2	10	706	2017	3	10	19	0
562	2017	3	20	05	312	2017	3	22	15	687	2017	3	25	20	0
563	2017	3	26	22	374	2017	3	28	08	709	2017	4	2	20	0
564	2017	4	5	13	384	2017	4	8	12	551	2017	4	10	02	0
565	2017	4	18	18	316	2017	4	20	12	605	2017	4	27	11	0
566	2017	5	14	05	306	2017	5	16	03	608	2017	5	18	00	0
567	2017	5	19	01	391	2017	5	20	10	731	2017	5	24	14	0
568	2017	5	29	06	339	2017	5	30	20	540	2017	5	31	03	0
569	2017	6	10	16	279	2017	6	12	23	528	2017	6	14	21	0
570	2017	6	16	02	363	2017	6	16	19	625	2017	6	17	06	0
571	2017	6	23	08	327	2017	6	26	08	523	2017	6	27	14	0
572	2017	6	30	22	338	2017	7	2	16	514	2017	7	2	20	0
573	2017	7	8	23	321	2017	7	11	07	646	2017	7	12	18	0
574	2017	7	20	04	382	2017	7	21	12	694	2017	7	27	11	0
575	2017	8	3	10	340	2017	8	4	15	709	2017	8	8	04	0
576	2017	8	11	03	378	2017	8	13	20	602	2017	8	14	17	0
577	2017	8	16	12	359	2017	8	19	12	704	2017	8	23	23	0
578	2017	8	29	11	303	2017	8	31	11	641	2017	9	6	13	0
579	2017	9	14	09	345	2017	9	16	16	716	2017	9	20	14	0
580	2017	9	26	23	315	2017	9	28	10	695	2017	10	1	20	0
581	2017	10	10	17	313	2017	10	13	17	649	2017	10	17	16	0
582	2017	10	24	03	346	2017	10	25	14	615	2017	10	27	08	0
583	2017	11	6	20	297	2017	11	8	01	657	2017	11	12	13	0
584	2017	11	15	04	370	2017	11	16	17	502	2017	11	17	02	0
585	2017	11	20	15	341	2017	11	21	16	614	2017	11	22	21	0
586	2017	12	4	12	318	2017	12	6	04	624	2017	12	8	09	0
587	2017	12	11	03	340	2017	12	12	08	514	2017	12	13	06	0
588	2017	12	16	21	331	2017	12	17	16	642	2017	12	20	02	0
